Disease	DiseaseRun	Run
1	NN	NN3	R3
2	NN	NN3	R3
3	NN	NN3	R3
4	NN	NN3	R3
5	NN	NN3	R3
6	NN	NN3	R3
7	NN	NN3	R3
8	NN	NN3	R3
9	MN	MN3	R3
10	MN	MN3	R3
11	MN	MN3	R3
12	MN	MN3	R3
13	MN	MN3	R3
14	MN	MN3	R3
15	MN	MN3	R3
16	MN	MN3	R3
17	MN	MN3	R3
18	MN	MN3	R3
19	MN	MN3	R3
20	MN	MN3	R3
21	MN	MN3	R3
22	MN	MN3	R3
23	MN	MN3	R3
24	MN	MN3	R3
25	MN	MN3	R3
26	MN	MN3	R3
27	MN	MN3	R3
28	MN	MN3	R3
29	MN	MN3	R3
30	MN	MN3	R3
31	MN	MN3	R3
32	MN	MN3	R3
33	MN	MN3	R3
34	MN	MN3	R3
35	MN	MN3	R3
36	MN	MN3	R3
37	MN	MN3	R3
38	MN	MN3	R3
39	MN	MN3	R3
40	MN	MN3	R3
41	MN	MN3	R3
42	MN	MN3	R3
43	MN	MN3	R3
44	MN	MN3	R3
45	MN	MN3	R3
46	MN	MN3	R3
47	NN	NN2	R2
48	NN	NN2	R2
49	NN	NN2	R2
50	NN	NN2	R2
51	NN	NN2	R2
52	NN	NN2	R2
53	NN	NN2	R2
54	MN	MN2	R2
55	MN	MN2	R2
56	MN	MN2	R2
57	MN	MN2	R2
58	NN	NN2	R2
59	MN	MN2	R2
60	MN	MN2	R2
61	MN	MN2	R2
62	MN	MN2	R2
63	MN	MN2	R2
64	MN	MN2	R2
65	MN	MN2	R2
66	NN	NN2	R2
67	MN	MN2	R2
68	NN	NN2	R2
69	MN	MN2	R2
70	MN	MN2	R2
71	MN	MN2	R2
72	MN	MN2	R2
73	MN	MN2	R2
74	NN	NN2	R2
75	MN	MN2	R2
76	MN	MN2	R2
77	MN	MN2	R2
78	NN	NN2	R2
79	MN	MN2	R2
80	NN	NN2	R2
81	MN	MN2	R2
82	MN	MN2	R2
83	NN	NN2	R2
84	MN	MN2	R2
85	NN	NN2	R2
86	MN	MN2	R2
87	NN	NN2	R2
88	NN	NN2	R2
89	NN	NN2	R2
90	NN	NN2	R2
91	NN	NN2	R2
92	NN	NN2	R2
93	NN	NN2	R2
94	NN	NN2	R2
95	NN	NN2	R2
96	NN	NN2	R2
97	NN	NN2	R2
98	NN	NN2	R2
99	NN	NN2	R2
100	NN	NN2	R2
101	NN	NN2	R2
102	NN	NN2	R2
103	NN	NN2	R2
104	NN	NN2	R2
105	NN	NN2	R2
106	NN	NN2	R2
107	NN	NN2	R2
108	NN	NN2	R2
109	NN	NN2	R2
110	NN	NN2	R2
111	NN	NN2	R2
112	NN	NN2	R2
113	NN	NN2	R2
114	NN	NN2	R2
115	NN	NN2	R2
116	MN	MN2	R2
117	MN	MN2	R2
118	MN	MN2	R2
119	MN	MN2	R2
120	MN	MN2	R2
121	MN	MN2	R2
122	MN	MN2	R2
123	MN	MN2	R2
124	MN	MN2	R2
125	MN	MN2	R2
126	MN	MN2	R2
127	MN	MN2	R2
128	MN	MN2	R2
129	MN	MN2	R2
130	MN	MN2	R2
131	MN	MN2	R2
132	MN	MN2	R2
